PRODUTO;ANO;REGIÃO;ESTADO;PRODUTOR;UNIDADE;JAN;FEV;MAR;ABR;MAI;JUN;JUL;AGO;SET;OUT;NOV;DEZ;TOTAL
BIODIESEL;2006;REGIÃO SUL;PARANÁ;BIOPAR BIOENERGIA;m3;0;0;0;0;0;0;0;0;0;0;0;0;0
BIODIESEL;2006;REGIÃO CENTRO-OESTE;MATO GROSSO;BIOPAR PARECIS;m3;0;0;0;0;0;0;0;0;0;0;0;0;0
BIODIESEL;2006;REGIÃO SUDESTE;SÃO PAULO;BIO PETRO;m3;0;0;0;0;0;0;0;0;0;0;0;0;0
BIODIESEL;2006;REGIÃO SUDESTE;MINAS GERAIS;BIOSEP;m3;0;0;0;0;0;0;0;0;0;0;0;0;0
BIODIESEL;2006;REGIÃO NORTE;TOCANTINS;BIOTINS;m3;0;0;0;0;0;0;0;0;0;0;0;0;0
BIODIESEL;2006;REGIÃO SUDESTE;SÃO PAULO;BIOVERDE (EX-BIOPETROSUL);m3;0;0;0;0;0;0;0;0;0;0;0;0;0
BIODIESEL;2006;REGIÃO CENTRO-OESTE;MATO GROSSO;BIO VIDA;m3;0;0;0;0;0;0;0;0;0;0;0;0;0
BIODIESEL;2006;REGIÃO SUL;RIO GRANDE DO SUL;BOCCHI;m3;0;0;0;0;0;0;0;0;0;0;0;0;0
BIODIESEL;2006;REGIÃO NORDESTE;PIAUÍ;BRASIL ECODIESEL (FLORIANO);m3;767,2;677;1309,1;1378,3;2219,5;2325,8;2943,8;2413,1;2727,4;3676,709;4317,62;3848;28603,529
BIODIESEL;2006;REGIÃO NORDESTE;CEARÁ;BRASIL ECODIESEL (CRATEUS);m3;0;0;0;0;0;0;0;0;0;0;1247,9;706,3;1954,2
BIODIESEL;2006;REGIÃO NORDESTE;BAHIA;BRASIL ECODIESEL (IRAQUARA);m3;0;0;0;0;0;0;0;0;0;0;0;4210,3;4210,3
BIODIESEL;2006;REGIÃO NORTE;TOCANTINS;BRASIL ECODIESEL (PORTO NACIONAL);m3;0;0;0;0;0;0;0;0;0;0;0;0;0
BIODIESEL;2006;REGIÃO SUL;RIO GRANDE DO SUL;BRASIL ECODIESEL (ROSARIO DO SUL);m3;0;0;0;0;0;0;0;0;0;0;0;0;0
BIODIESEL;2006;REGIÃO NORDESTE;MARANHÃO;BRASIL ECODIESEL (SÃO LUIS);m3;0;0;0;0;0;0;0;0;0;0;0;0;0
BIODIESEL;2006;REGIÃO CENTRO-OESTE;MATO GROSSO;BARRALCOOL;m3;0;0;0;0;0;0;0;0;0;0;0;0;0
BIODIESEL;2006;REGIÃO SUL;RIO GRANDE DO SUL;BSBIOS;m3;0;0;0;0;0;0;0;0;0;0;0;0;0
BIODIESEL;2006;REGIÃO SUL;PARANÁ;BSBIOS MARIALVA;m3;0;0;0;0;0;0;0;0;0;0;0;0;0
BIODIESEL;2006;REGIÃO CENTRO-OESTE;MATO GROSSO;BUNGE;m3;0;0;0;0;0;0;0;0;0;0;0;0;0
BIODIESEL;2006;REGIÃO CENTRO-OESTE;MATO GROSSO;CAIBIENSE;m3;0;0;0;0;0;0;0;0;0;0;0;0;0
BIODIESEL;2006;REGIÃO SUL;RIO GRANDE DO SUL;CAMERA (IJUI);m3;0;0;0;0;0;0;0;0;0;0;0;0;0
BIODIESEL;2006;REGIÃO SUL;RIO GRANDE DO SUL;CAMERA (ROSARIO DO SUL);m3;0;0;0;0;0;0;0;0;0;0;0;0;0
BIODIESEL;2006;REGIÃO CENTRO-OESTE;GOIÁS;CARAMURU (SÃO SIMÃO);m3;0;0;0;0;0;0;0;0;0;0;0;0;0
BIODIESEL;2006;REGIÃO CENTRO-OESTE;GOIÁS;CARAMURU (IPAMERI);m3;0;0;0;0;0;0;0;0;0;0;0;0;0
BIODIESEL;2006;REGIÃO CENTRO-OESTE;MATO GROSSO;CARAMURU (SORRISO);m3;0;0;0;0;0;0;0;0;0;0;0;0;0
BIODIESEL;2006;REGIÃO CENTRO-OESTE;MATO GROSSO DO SUL;CARGILL;m3;0;0;0;0;0;0;0;0;0;0;0;0;0
BIODIESEL;2006;REGIÃO SUDESTE;RIO DE JANEIRO;CESBRA;m3;0;0;0;0;0;0;0;0;0;0;0;0;0
BIODIESEL;2006;REGIÃO CENTRO-OESTE;MATO GROSSO;CLV;m3;0;0;0;0;0;0;0;0;0;0;0;0;0
BIODIESEL;2006;REGIÃO NORDESTE;BAHIA;COMANCHE (EX-IBR);m3;0;0;0;0;0;0;0;0;0;9,051;15,784;3;27,835
BIODIESEL;2006;REGIÃO CENTRO-OESTE;MATO GROSSO DO SUL;DELTA BIOCOMBUSTÍVEIS;m3;0;0;0;0;0;0;0;0;0;0;0;0;0
BIODIESEL;2006;REGIÃO CENTRO-OESTE;MATO GROSSO DO SUL;DELTA CUIABA;m3;0;0;0;0;0;0;0;0;0;0;0;0;0
BIODIESEL;2006;REGIÃO CENTRO-OESTE;MATO GROSSO;GRUPAL (EX-COOAMI);m3;0;0;0;0;0;0;0;0;0;0;0;0;0
BIODIESEL;2006;REGIÃO CENTRO-OESTE;MATO GROSSO;COOMISA;m3;0;0;0;0;0;0;0;0;0;0;0;0;0
BIODIESEL;2006;REGIÃO CENTRO-OESTE;MATO GROSSO;COOPERBIO (LUCAS DO RIO VERDE);m3;0;0;0;0;0;0;0;0;0;0;0;0;0
BIODIESEL;2006;REGIÃO CENTRO-OESTE;MATO GROSSO;COOPERBIO (CUIABA);m3;0;0;0;0;0;0;0;0;0;0;0;0;0
BIODIESEL;2006;REGIÃO CENTRO-OESTE;MATO GROSSO;COOPERFELIZ;m3;0;0;0;0;0;0;0;0;0;0;0;0;0
